[2026-03-11 17:17:56.007222 -> 2026-03-11 17:17:57.216848] Injection #1: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:17:57.217079 -> 2026-03-11 17:18:07.548449] Injection #2: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:07.549101 -> 2026-03-11 17:18:09.434349] Injection #3: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:09.434509 -> 2026-03-11 17:18:10.258157] Injection #4: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:10.258347 -> 2026-03-11 17:18:11.080889] Injection #5: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:11.081070 -> 2026-03-11 17:18:11.925607] Injection #6: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:11.925779 -> 2026-03-11 17:18:12.749205] Injection #7: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:12.749414 -> 2026-03-11 17:18:13.567787] Injection #8: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:13.567970 -> 2026-03-11 17:18:14.428183] Injection #9: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:14.428366 -> 2026-03-11 17:18:24.751851] Injection #10: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:24.752514 -> 2026-03-11 17:18:26.639465] Injection #11: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:26.639627 -> 2026-03-11 17:18:27.440971] Injection #12: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:27.441167 -> 2026-03-11 17:18:28.258751] Injection #13: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:28.258948 -> 2026-03-11 17:18:29.075730] Injection #14: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:29.075893 -> 2026-03-11 17:18:29.901613] Injection #15: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:29.901777 -> 2026-03-11 17:18:30.727746] Injection #16: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:30.727948 -> 2026-03-11 17:18:31.580193] Injection #17: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:31.580402 -> 2026-03-11 17:18:41.961244] Injection #18: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:41.961949 -> 2026-03-11 17:18:52.355510] Injection #19: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:52.357532 -> 2026-03-11 17:18:53.812833] Injection #20: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:53.813018 -> 2026-03-11 17:18:54.636368] Injection #21: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:54.636555 -> 2026-03-11 17:18:55.459842] Injection #22: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:18:55.460013 -> 2026-03-11 17:19:06.053158] Injection #23: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:19:06.053785 -> 2026-03-11 17:19:07.922575] Injection #24: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
[2026-03-11 17:19:07.922745 -> 2026-03-11 17:19:08.741098] Injection #25: app=simple_add, igid=7, bfm=0, kname=simple_add(int)
